"Name","n_poste","Level","Section","Role","status","year","institutions","ID","X","X.1","Id.author.no"
" Philippe DESSUS",193,"PR",NA,NA,"interne",2017,NA,"80526470",NA,NA,NA
"A Belhadjin",20,NA,NA,NA,"interne",2020,"CY Cergy Paris Université","11317022X",NA,NA,NA
"A Bretegnier",62,NA,NA,NA,"externe",2020,NA,"70549923",NA,NA,NA
"A evin",4279,NA,NA,NA,"externe",2020,NA,"159017920",NA,NA,NA
"A Gombert",4647,NA,NA,NA,"externe",2020,NA,"6993696X",NA,NA,NA
"A Kuzniak ",4314,"PR","7",NA,"interne",2017,"Paris 7","35587865",NA,NA,NA
"A Pachod",4591,"MCF","70",NA,"interne",2019,NA,"110135679",NA,NA,NA
"A Rasmussen",361,NA,NA,NA,"externe",2020,NA,"129974641",NA,NA,NA
"A Smedding",4647,NA,NA,NA,"externe",2020,NA,NA,NA,NA,"147987237"
"A Soron",4543,NA,NA,NA,"externe",2020,NA,"58920943",NA,NA,NA
"A Wilson",4278,NA,NA,NA,"externe",2020,NA,"7577190X",NA,NA,NA
"A Young",4636,NA,NA,NA,"interne",2020,"Université de Strasbourg","194969770",NA,NA,NA
"A Zider ",4314,"PR","7",NA,"interne",2017,"Paris 7",NA,NA,NA,NA
"Abdelhak QRIBI",54,"MCF","70",NA,"interne",2017,NA,"130387304",NA,NA,NA
"Abdelkarim ZAID",56,NA,NA,NA,"interne",2019,NA,"82292477",NA,NA,NA
"Abdelkarim ZAID",94,"PR","70",NA,"externe",2019," ESPE - LNF ","82292477",NA,NA,NA
"Abdelkarim ZAID",125,"PR","70","pdt                                                                                      ","interne",2020,"Université de Lille","82292477",NA,NA,NA
"Abdelkarim ZAID",160,"PR","70",NA,"interne",2020,"Université de Lille","82292477",NA,NA,NA
"Abdelkarim ZAID",322,"PR","70",NA,"externe",2019," COMUE Lille Nord de France ","82292477",NA,NA,NA
"Abdelkarim ZAID",4283,"PR","70",NA,"externe",2017," ESPE LNF ","82292477",NA,NA,NA
"Abel Kouvouama ",4191," PR ","20","pdt","interne",2018,NA,"3376199X",NA,NA,NA
"ADEN Joelle",4551,"PR","7",NA,"interne",2018,NA,"103593462",NA,NA,NA
"ADEN Joelle",4551,"PR","7",NA,"interne",2018,NA,"103593462",NA,NA,NA
"Agnès PERRIN-DOUCEY",193,"MCF","9","pdt","interne",2017,NA,NA,NA,NA,NA
"Agnès Van Zanten",645,NA,NA,NA,"externe",2018,NA,"30023459",NA,NA,NA
"Agnès Van Zanten",4559,"DR","36",NA,"externe",2018," CNRS","30023459",NA,NA,NA
"AGOSTINI Marie",748,NA,NA,NA,"interne",2019,NA,"158187547",NA,NA,NA
"AK Cheikh-Ahamed",62,NA,NA,"v_pdt","externe",2020,NA,NA,NA,NA,"188701982"
"Alain BLANC",43,"PR",NA," pdt ","interne",2020,"Université Grenoble Alpes","34223940",NA,NA,NA
