ID,Name,institutions
103186018,Florence Savournin,INSPE  Toulouse Occitanie Pyrénées
103593462,Joëlle Aden,INSPE Académie de Créteil
103822453,DUCEUX Yann,Université de Reims
10932286X,Isabelle Harlé,Université de Rouen
111351545,Stéphane Simonian,Université Lyon 2 (Lumière)
111692997,J Guérin,Université de Bretagne Occidentale (Brest)
111709814,Ecatérina PACURAR,Université de Lille
112210805,Espinassy,INSPE Université Aix-Marseille
112707645,Imelda ELLIOTT,Université du Littoral
11317022X,A Belhadjin,CY Cergy Paris Université
113455844,Laurent Gutierrez,Université Paris NAnterre
114095507,Laurent Lescouarch,Université de Rouen
114307121,Xavier ESCUDERO,Université du Littoral
114505160,Arnaud Dubois,Université de Rouen
114719217,MOIGNARD Benjamin,CY Cergy Paris Université
115863869,Dominique Broussal,['INSPE Académie Toulouse' 'Université de Toulouse Jean Jaurès']
116850108,Pascal Clerc,CY Cergy Paris Université
119049112,Jean-François NORDMAN,CY Cergy Paris Université
120121360,CHAUVIN Franck,Université de Saint-Etienne
120287404,Burban François,Université de NAntes
12047476X,KERN Dominique,Université de Mulhouse
12182554X,Hélène CROCE-SPINELLI,Université Lyon 2 (Lumière)
124034004,Christophe Blanchard,Université Paris 13
126043396,M Le Paven,Université de Bretagne Occidentale (Brest)
129209872,Fabienne MAILLARD,Université Paris 8
130351261,I Kante,Université de la Réunion
131685007,Hélène Stevens,INSPE Université de Poitiers
13185996X,Prevot,INSPE Université Aix-Marseille
135401925,Vincent Berry,Université Paris 13
139428127,LEMAIRE Benoit,Université Grenoble Alpes
139721010,Cécile NURRA,Université Grenoble Alpes
139857427,Olivier LAS VERGNAS,Université de Lille
142499250,Guilhem LABINAL,CY Cergy Paris Université
143008153,CORBIN Lucie,Université de Dijon
143344412,R Sock,Université de Strasbourg
144233916,Lapostolle Guy,Université de Lorraine
144696029,Pablo Buznic-Bourgeacq,Université de Rouen
145318168,KAPLAN Jonathan,Université Lyon 2 (Lumière)
147610869,LOPEZ Maryse,CY Cergy Paris Université
147807018,Frédéric TORTERAT,Université de Montpellier
149688792,P Lecroart,INSPE Académie de Besançon
15018963X,Vincent GROSSTEPHAN,Université de Reims
150707118,Davin,INSPE Université Aix-Marseille
150987293,Thierry MICHALOT,Université de Saint-Etienne
151121354,T Alexopoulos,Université de Poitiers
15212358X,Annette Jarlégan,Université de Lorraine
153090901,LEYRIT Alexandra,Université de Saint-Etienne
153220759,M Mori,CUFR de Mayotte
153290293,Margarida ROMERO,Université Côte d'Azur
155655434,GOLDBLUM Sonia,Université de Mulhouse
155706632,Anne-Marie Vonthron,Université Paris NAnterre
