,item_id,trans_id
0,X,0
1,IV,1
2,X,2
3,V,3
4,V,4
5,VII,5
7,VI,7
8,VIII,8
9,VII,9
10,V,10
11,V,11
12,III,12
13,IV,13
14,IX,14
15,VI,15
16,V,16
17,IX,17
18,VII,18
19,IX,19
20,IV,20
21,V,21
22,V,22
23,VI,23
24,VIII,24
25,VI,25
26,IX,26
27,II,27
28,IX,28
29,V,29
30,V,30
31,IX,31
32,IX,32
33,VIII,33
34,V,34
35,V,35
36,V,36
37,IX,37
38,V,38
39,VI,39
40,VII,40
41,VIII,41
42,VI,42
44,IX,44
45,IX,45
46,VIII,46
47,I - Droit,47
48,X,48
49,IX,49
50,IX,50
51,VII,51
52,VI,52
53,VIII,53
55,VII,55
56,IX,56
57,IX,57
58,VIII,58
59,VIII,59
60,IX,60
61,IX,61
62,VII,62
63,V,63
64,IX,64
65,IX,65
66,X,66
67,X,67
69,IX,69
71,IX,71
73,V,73
74,V,74
75,V,75
76,VIII,76
77,V,77
78,VIII,78
79,VIII,79
80,IX,80
81,IX,81
82,VIII,82
83,IX,83
84,V,84
85,XII,85
86,IX,86
87,IX,87
88,X,88
89,IX,89
91,VIII,91
92,VII,92
93,VIII,93
96,X,96
97,V,97
98,VI,98
99,VI,99
101,VI,101
102,IX,102
103,X,103
104,IX,104
105,IX,105
106,IV,106
107,V,107
108,IX,108
110,IX,110
111,VIII,111
112,VI,112
113,IX,113
114,VIII,114
115,IX,115
116,IX,116
117,I - Droit,117
118,X,118
119,V,119
120,V,120
121,XII,121
122,VIII,122
123,V,123
124,IX,124
125,IX,125
126,IX,126
127,VIII,127
128,X,128
129,IX,129
130,VIII,130
131,IX,131
132,VIII,132
133,IX,133
134,IX,134
135,VII,135
136,VIII,136
137,IX,137
138,II,138
139,IX,139
140,VIII,140
141,IX,141
142,V,142
143,X,143
144,IX,144
145,IX,145
146,IX,146
147,V,147
148,V,148
149,VI,149
150,IX,150
151,VI,151
154,V,154
155,IX,155
156,IX,156
157,XII,157
158,IX,158
159,V,159
160,X,160
161,IX,161
162,VIII,162
163,IX,163
164,IX,164
165,VI,165
166,V,166
167,IX,167
168,IX,168
169,VIII,169
170,X,170
171,VIII,171
172,IX,172
173,VIII,173
174,VI,174
175,IV,175
176,IX,176
177,V,177
178,VIII,178
180,X,180
181,V,181
182,V,182
183,V,183
184,V,184
185,V,185
186,V,186
187,I - Droit,187
188,VIII,188
189,VIII,189
190,X,190
191,IX,191
192,IX,192
193,VIII,193
194,V,194
195,IX,195
196,VI,196
197,VII,197
198,VIII,198
199,VIII,199
200,VIII,200
201,IX,201
203,IV,203
204,IX,204
205,V,205
206,V,206
207,V,207
208,X,208
209,V,209
210,IX,210
211,IX,211
212,X,212
213,IV,213
214,V,214
215,V,215
216,V,216
217,V,217
218,V,218
219,VII,219
220,V,220
221,VI,221
222,IX,222
223,VIII,223
224,IX,224
225,VIII,225
226,IX,226
227,VIII,227
228,IX,228
229,X,229
230,IX,230
231,X,231
232,V,232
233,V,233
234,X,234
235,VI,235
236,VIII,236
237,IX,237
238,II,238
239,V,239
241,V,241
242,IX,242
243,V,243
244,VI,244
245,IX,245
246,IX,246
248,XII,248
249,IX,249
250,V,250
251,X,251
252,V,252
253,X,253
254,VII,254
255,IX,255
256,IX,256
257,VIII,257
258,IX,258
259,V,259
260,VIII,260
261,VIII,261
262,IX,262
263,VI,263
264,IX,264
265,VI,265
266,VI,266
267,VI,267
268,II,268
269,VI,269
270,VI,270
271,V,271
272,VI,272
273,VIII,273
274,VIII,274
275,VII,275
276,X,276
277,IX,277
278,IX,278
279,V,279
280,IX,280
281,IV,281
282,X,282
283,IX,283
284,IX,284
285,IX,285
286,IX,286
288,VII,288
289,VIII,289
290,VIII,290
291,VI,291
292,IX,292
293,V,293
294,V,294
295,VII,295
296,V,296
297,V,297
298,IX,298
299,VIII,299
300,V,300
301,VI,301
302,X,302
303,IV,303
304,IX,304
305,X,305
306,IV,306
307,VIII,307
308,VI,308
309,IX,309
310,VIII,310
311,VIII,311
312,VI,312
313,VII,313
314,V,314
315,IX,315
316,VI,316
317,VI,317
318,V,318
319,IX,319
320,VII,320
321,V,321
322,V,322
323,VII,323
324,V,324
325,VIII,325
326,VIII,326
327,VII,327
328,V,328
329,VIII,329
330,X,330
331,V,331
335,V,335
336,VIII,336
337,VIII,337
338,VIII,338
339,V,339
340,IX,340
341,X,341
342,IX,342
343,IX,343
344,VIII,344
345,V,345
346,IX,346
347,VII,347
348,V,348
349,VIII,349
350,V,350
351,VI,351
352,VI,352
353,IV,353
355,IX,355
356,IX,356
357,V,357
358,VIII,358
359,X,359
360,V,360
361,II,361
362,I - Droit,362
363,VI,363
364,IX,364
365,V,365
366,IX,366
367,XII,367
368,IX,368
370,III,370
371,V,371
372,IX,372
373,IX,373
374,IX,374
375,IX,375
376,IX,376
377,V,377
378,V,378
379,V,379
380,IV,380
382,IX,382
383,IX,383
384,V,384
385,X,385
386,X,386
387,VIII,387
388,IX,388
389,VIII,389
390,V,390
391,VI,391
392,XII,392
393,V,393
394,V,394
395,X,395
396,VIII,396
397,VIII,397
398,VIII,398
399,VIII,399
400,V,400
401,V,401
402,IX,402
403,IV,403
404,V,404
405,V,405
406,II,406
407,V,407
408,V,408
409,V,409
410,IX,410
411,VIII,411
412,IX,412
413,IX,413
414,VIII,414
415,IX,415
416,II,416
417,VIII,417
418,VIII,418
419,III,419
420,IX,420
421,IX,421
422,IX,422
423,IX,423
424,IX,424
425,VIII,425
426,VI,426
427,VIII,427
428,V,428
429,V,429
430,V,430
431,V,431
432,V,432
433,II,433
434,IX,434
435,V,435
437,VIII,437
438,IX,438
439,VI,439
440,IX,440
441,VIII,441
442,V,442
443,V,443
444,IX,444
445,V,445
446,VI,446
447,IX,447
448,X,448
449,IX,449
450,IX,450
451,IX,451
452,X,452
453,VIII,453
454,V,454
455,IX,455
456,IX,456
458,IX,458
459,VIII,459
460,V,460
461,V,461
462,V,462
463,V,463
464,IX,464
465,V,465
466,V,466
467,VI,467
468,IX,468
469,IX,469
470,IX,470
471,IX,471
472,IX,472
473,V,473
474,IX,474
475,V,475
476,VI,476
477,V,477
478,X,478
479,V,479
480,IX,480
481,VIII,481
482,X,482
483,V,483
484,V,484
485,VIII,485
486,IX,486
487,V,487
488,IX,488
489,IX,489
490,II,490
491,I - Droit,491
492,X,492
493,IX,493
494,IX,494
495,IX,495
496,V,496
497,X,497
498,X,498
499,IX,499
500,VIII,500
501,IX,501
502,V,502
503,VII,503
504,II,504
505,V,505
506,VI,506
507,X,507
508,VIII,508
510,IV,510
511,X,511
512,VIII,512
513,V,513
514,IV,514
515,XII,515
516,X,516
517,IX,517
518,IX,518
519,IX,519
520,IV,520
521,VI,521
522,IX,522
523,IX,523
524,IV,524
525,X,525
526,IX,526
527,IX,527
528,IV,528
529,V,529
530,VII,530
532,IX,532
533,VIII,533
534,V,534
535,VI,535
536,V,536
537,X,537
538,IX,538
540,VII,540
541,V,541
542,VII,542
543,XII,543
544,IX,544
545,IX,545
546,X,546
547,IX,547
548,VII,548
550,IX,550
551,IX,551
552,X,552
553,V,553
554,VI,554
556,X,556
558,V,558
559,V,559
560,V,560
561,IX,561
562,V,562
563,X,563
564,VIII,564
565,VIII,565
566,VIII,566
567,IX,567
568,IX,568
569,IX,569
570,VIII,570
571,IX,571
572,V,572
573,IX,573
574,IX,574
575,X,575
576,VIII,576
577,V,577
578,IV,578
579,IX,579
580,IX,580
581,V,581
582,IX,582
583,IX,583
584,VIII,584
585,V,585
586,VIII,586
587,VIII,587
588,VIII,588
589,VI,589
590,V,590
591,VIII,591
592,V,592
593,IX,593
594,V,594
595,X,595
596,IX,596
597,VI,597
598,X,598
599,IX,599
600,X,600
601,V,601
602,V,602
603,X,603
604,VIII,604
605,V,605
606,II,606
607,V,607
608,IX,608
609,X,609
610,I - Droit,610
611,VI,611
612,V,612
613,XII,613
614,V,614
615,IX,615
616,IX,616
617,VI,617
618,V,618
619,V,619
620,IX,620
621,VI,621
622,X,622
623,VIII,623
624,VII,624
625,V,625
626,V,626
627,VI,627
628,IX,628
629,VIII,629
630,VI,630
631,VI,631
632,VI,632
633,V,633
634,VI,634
635,III,635
636,VIII,636
638,X,638
639,IX,639
640,V,640
641,IX,641
642,V,642
643,V,643
644,V,644
645,IX,645
646,VI,646
647,X,647
648,IX,648
649,IX,649
650,IX,650
651,V,651
652,IX,652
653,V,653
654,X,654
655,X,655
656,IX,656
657,V,657
658,VIII,658
659,VIII,659
660,VI,660
661,IX,661
662,IX,662
663,IX,663
664,IX,664
665,V,665
666,VIII,666
667,IX,667
668,VII,668
669,IX,669
670,IX,670
672,IX,672
673,IX,673
674,II,674
675,VI,675
676,V,676
677,V,677
678,IX,678
679,X,679
680,VIII,680
681,VIII,681
682,V,682
683,V,683
684,V,684
685,V,685
686,V,686
687,IX,687
688,V,688
689,V,689
690,V,690
691,III,691
692,IX,692
693,VII,693
694,V,694
695,X,695
696,VIII,696
697,V,697
698,VI,698
699,IX,699
700,VI,700
701,IX,701
702,V,702
703,V,703
705,IX,705
706,IX,706
707,VI,707
708,VII,708
709,II,709
710,IX,710
711,V,711
712,IX,712
713,V,713
714,VI,714
715,VI,715
716,V,716
717,IX,717
718,V,718
719,IX,719
720,IV,720
721,IX,721
722,IX,722
723,V,723
724,V,724
725,VI,725
726,IX,726
727,VII,727
728,VI,728
729,IX,729
730,VI,730
731,VIII,731
732,VIII,732
733,I - Droit,733
734,V,734
735,VI,735
736,IX,736
737,IX,737
738,VIII,738
739,X,739
740,VIII,740
741,IX,741
742,V,742
743,V,743
744,IX,744
745,IX,745
746,IX,746
747,X,747
748,X,748
749,II,749
750,IV,750
751,IX,751
752,V,752
753,IX,753
754,IV,754
755,IX,755
756,VIII,756
757,IX,757
758,V,758
759,XII,759
760,III,760
761,VIII,761
762,IX,762
763,X,763
764,VIII,764
765,VI,765
766,II,766
767,IV,767
768,VIII,768
769,VIII,769
770,II,770
771,V,771
772,IX,772
773,V,773
774,X,774
775,IV,775
776,VI,776
778,VI,778
779,XII,779
780,V,780
781,II,781
782,IX,782
783,I - Droit,783
784,VII,784
785,II,785
786,X,786
787,IX,787
788,VI,788
789,VI,789
790,V,790
791,VIII,791
792,VI,792
793,V,793
794,IX,794
795,X,795
796,VIII,796
797,IX,797
798,IX,798
802,IX,802
803,V,803
804,IX,804
805,V,805
806,VIII,806
807,IX,807
808,V,808
809,IX,809
810,V,810
811,IX,811
812,X,812
814,V,814
815,IX,815
816,IX,816
817,V,817
818,X,818
819,X,819
820,X,820
821,V,821
822,V,822
823,II,823
824,VI,824
825,XII,825
826,V,826
827,VIII,827
828,VII,828
829,VII,829
830,IX,830
831,X,831
832,X,832
833,VII,833
834,VI,834
835,VII,835
836,IX,836
837,IX,837
838,IV,838
839,IX,839
840,IX,840
841,VI,841
842,V,842
843,IX,843
844,V,844
845,VII,845
846,IX,846
847,V,847
848,V,848
849,V,849
851,VIII,851
852,V,852
853,IX,853
854,V,854
855,X,855
856,V,856
857,VII,857
858,VI,858
859,V,859
860,IX,860
861,IX,861
862,VI,862
863,V,863
864,IX,864
865,IX,865
866,IX,866
867,IX,867
868,IV,868
869,X,869
870,IX,870
871,IX,871
872,V,872
873,VIII,873
874,V,874
875,V,875
876,IX,876
877,VI,877
878,IX,878
879,VIII,879
881,IX,881
882,VIII,882
883,X,883
884,V,884
885,V,885
886,V,886
887,VI,887
888,IX,888
889,IX,889
890,V,890
891,VIII,891
892,V,892
893,VIII,893
894,X,894
895,IX,895
897,VIII,897
898,IX,898
899,V,899
900,VII,900
902,X,902
903,VI,903
904,IX,904
905,XII,905
906,VI,906
907,V,907
908,IX,908
909,IX,909
